symbol,year,z_score,distressed,totalCurrentAssets,totalAssets,retainedEarnings,ebitda,depreciationAndAmortization_income_statement,totalLiabilities,marketcap,revenue
BYS.SW,2020,7.09,0,813500000.0,1150600000.0,909200000.0,60300000,18100000.0,354600000.0,2550000000.0,801400000
CALN.SW,2023,3.87,0,118434000.0,233686000.0,178728000.0,-20398000,19618000.0,119630000.0,290000000.0,304428000
CALN.SW,2022,4.6,0,150725000.0,338592000.0,250183000.0,48472000,18756000.0,139634000.0,420000000.0,319069000
CALN.SW,2021,4.16,0,234078000.0,355266000.0,214851000.0,45535000,20848000.0,181700000.0,440000000.0,298445000
CALN.SW,2020,3.47,0,158737000.0,323896000.0,202037000.0,36247000,21953000.0,158876000.0,290000000.0,248947000
GAV.SW,2023,7.45,0,155374000.0,182069000.0,162739000.0,31156000,6563000.0,42838000.0,270000000.0,172204000
GAV.SW,2022,6.58,0,158214000.0,185347000.0,152582000.0,44627000,5584000.0,53463000.0,230000000.0,209601000
GAV.SW,2021,6.17,0,141308000.0,169117000.0,132882000.0,36603000,5858000.0,52922000.0,210000000.0,183389000
GAV.SW,2020,5.04,0,125035000.0,155746000.0,119374000.0,22584000,5909000.0,49537000.0,140000000.0,148192000
CMBN.SW,2024,0.6,0,793201000.0,7948731000.0,1050890000.0,0,26825000.0,6663614000.0,2650000000.0,550454000
CMBN.SW,2023,0.65,0,921974000.0,8088183000.0,997887000.0,223669000,27496000.0,6838445000.0,2280000000.0,458780000
CMBN.SW,2022,0.69,0,700646000.0,7657925000.0,1010017000.0,236427000,25955000.0,6383524000.0,2490000000.0,538250000
CMBN.SW,2021,0.68,0,623632000.0,7101151000.0,953689000.0,225526000,25045000.0,5900875000.0,2130000000.0,513051000
LISP.SW,2024,5.73,0,3560300000.0,9156900000.0,5006700000.0,1194700000,297300000.0,4317300000.0,25750000000.0,5468500000
LISP.SW,2023,7.01,0,2609000000.0,7860000000.0,5054200000.0,1092100000,267500000.0,3602400000.0,28230000000.0,5201200000
LISP.SW,2022,6.15,0,2889800000.0,8090700000.0,5029200000.0,1016200000,265000000.0,3690100000.0,24180000000.0,4970200000
LISP.SW,2021,7.13,0,3024800000.0,9075900000.0,5708800000.0,918300000,269300000.0,3852300000.0,32770000000.0,4585500000
CICN.SW,2023,2.48,0,251896000.0,361113000.0,-31815000.0,41568000,21767000.0,213033000.0,180000000.0,389890000
CICN.SW,2022,1.96,0,251422000.0,367000000.0,-38916000.0,31700000,20040000.0,277178000.0,150000000.0,313193000
CICN.SW,2021,1.84,0,200631000.0,323776000.0,-43156000.0,22053000,10734000.0,234889000.0,170000000.0,239044000
CICN.SW,2020,2.62,0,129340000.0,182269000.0,-50864000.0,17791000,10312000.0,105935000.0,150000000.0,214891000
CLN.SW,2023,3.11,0,2218000000.0,5347000000.0,2686000000.0,510000000,236000000.0,3167000000.0,4850000000.0,4377000000
CLN.SW,2022,2.82,0,2670000000.0,6188000000.0,2651000000.0,296000000,276000000.0,3675000000.0,5210000000.0,5198000000
CLN.SW,2021,2.75,0,3039000000.0,7038000000.0,2510000000.0,679000000,267000000.0,4494000000.0,6850000000.0,4372000000
CLN.SW,2020,2.65,0,3291000000.0,6933000000.0,2123000000.0,633000000,269000000.0,4552000000.0,7030000000.0,3860000000
COTN.SW,2023,10.93,0,265035000.0,473578000.0,334941000.0,41405000,20018000.0,177486000.0,2450000000.0,397453000
COTN.SW,2022,7.3,0,344761000.0,569939000.0,354890000.0,113554000,19478000.0,238407000.0,1640000000.0,586395000
COTN.SW,2021,11.05,0,296299000.0,491894000.0,294430000.0,99066000,18663000.0,216913000.0,2860000000.0,513721000
COTN.SW,2020,7.14,0,238308000.0,441155000.0,224452000.0,54691000,19287000.0,226199000.0,1740000000.0,395816000
CFR.SW,2023,4.44,0,31232000000.0,42681000000.0,14779000000.0,6531000000,1432000000.0,22046000000.0,80780000000.0,20616000000
CFR.SW,2022,4.24,0,30368000000.0,40887000000.0,14625000000.0,5734000000,1473000000.0,21868000000.0,73560000000.0,19953000000
CFR.SW,2021,4.51,0,25384000000.0,39986000000.0,16082000000.0,4487000000,1553000000.0,20123000000.0,84780000000.0,16748000000
CFR.SW,2020,3.5,0,21206000000.0,35359000000.0,14885000000.0,2170000000,1522000000.0,17475000000.0,51330000000.0,13144000000
CFT.SW,2023,4.25,0,682056000.0,983208000.0,660944000.0,128638000,23133000.0,557226000.0,1050000000.0,974705000
CFT.SW,2022,3.13,0,308269000.0,1077275000.0,613178000.0,120736000,26569000.0,634759000.0,850000000.0,964929000
CFT.SW,2021,1.84,0,306176000.0,1594644000.0,564926000.0,86673000,26704000.0,1164904000.0,850000000.0,875617000
CFT.SW,2020,2.73,0,303822000.0,1148615000.0,533441000.0,112483000,28559000.0,740898000.0,910000000.0,905409000
CPHN.SW,2023,5.51,0,305949000.0,598191000.0,473594000.0,113061000,19202000.0,161920000.0,600000000.0,623982000
CPHN.SW,2022,4.24,0,382166000.0,666191000.0,422728000.0,110081000,18629000.0,266624000.0,500000000.0,725351000
CPHN.SW,2021,2.37,0,289703000.0,560398000.0,307982000.0,-117871000,28385000.0,249904000.0,400000000.0,496693000
CPHN.SW,2020,3.25,0,271340000.0,704233000.0,402372000.0,50204000,30488000.0,232366000.0,490000000.0,445189000
DKSH.SW,2024,4.21,0,4391300000.0,5848300000.0,2017500000.0,472000000,126600000.0,3968300000.0,4870000000.0,11093600000
DKSH.SW,2023,4.32,0,4083300000.0,5471200000.0,1939100000.0,440600000,132100000.0,3733300000.0,4500000000.0,11066000000
DKSH.SW,2022,4.17,0,4385900000.0,5878700000.0,1870900000.0,437300000,126500000.0,4052400000.0,4930000000.0,11320200000
